id,created_at,author_id,text,retweets,likes,replies,quotes
1941083526914580584,2025-07-04T10:35:51.000Z,1600112540364701697,"eurovision artists PLEASE stop using generative ai for your song cover art, you have so many fans that could do it so much better and authentically",3,7,1,0
1941084106529616122,2025-07-04T10:38:09.000Z,463939612,"BadMephisto on how he became great at speedcubing, AI research and teaching. https://t.co/yWIA24EBni",0,7,1,0
1941084424361447665,2025-07-04T10:39:25.000Z,1460223515500716037,Generative #AI applications with #llama Stack: A notebook-guided journey to an intelligent operations agent https://t.co/PUv4BatSVb,0,0,0,0
1941084256161431831,2025-07-04T10:38:44.000Z,1616125879167467536,#ALX_AISK @alx_africa #julienbarbier42 @kalibetre @lowecase_life using personalized AI research assistant a knowledge from @alx_africa https://t.co/hNObARZAEj,0,0,0,0
1941084237647753590,2025-07-04T10:38:40.000Z,1541144220810981376,"10/ 👀 Meet Topview Product Avatar – Turn any product image into super-realistic UGC videos.  Upload a product image, and get an AI avatar that holds, shows, and speaks about it—like a real influencer.  🎯 No models. No cameras. Just AI.  ⚡ Try now → https://t.co/U3EoZR5SJG https://t.co/PtGSsCwdar",0,0,1,0
1941084095410479496,2025-07-04T10:38:06.000Z,1244380824121769985,"18/18 💬 If you found this insightful: ♡ Like 🔁 Retweet 👤 Follow @yaronbuilds for more market, crypto &amp; AI research 🚀",0,0,1,0
1941083980520112246,2025-07-04T10:37:39.000Z,1541144220810981376,"7/ Meet https://t.co/D7n5WZst5b  - Your 24/7 Online AI Research Team  👉 Try it now for free:  https://t.co/TvQUrzbVa5  → The AI Research Agent Simulating Consumers! Uncovers deep insights🤩  → Atypica automatically builds personas, conducts expert interviews to generate https://t.co/IrfGqCn3GE",0,0,1,0
1941083831903363153,2025-07-04T10:37:03.000Z,1735244801463771136,"Level up your future! BITS Pilani, Dubai Campus is equipping students with cutting-edge courses in AI, data science, quantum computing, generative AI, and more.   https://t.co/NCKCP7iUuW https://t.co/AhwYTAAJmU",0,0,0,0
1941083587320881380,2025-07-04T10:36:05.000Z,1628760844283654145,@Luca_soci Generative AI seems like a suped up Ask Jeeves of my youth.   Ive seen nothing “special” from AI yet outside of the ability to sift through giant amounts of data.,0,0,0,0
1941083498141671514,2025-07-04T10:35:44.000Z,1541144220810981376,"1/ 🪶https://t.co/TGGKBWKKxb - The first AI Research Agent, deep research on any topic in one click.  👉 visit https://t.co/TGGKBWKKxb  and sign up, input any topic you want to research for. Then you can get:  → Write high-quality articles instantly  → Back them with credible https://t.co/wLCrsBCvP7",0,0,1,0
1941137112931483780,2025-07-04T14:08:46.000Z,4032937023,"AI is already running in your company, the good news is that you can secure it!  LightOn puts Generative AI where it belongs: inside your walls, under your watch.  🚀 Deploy your own AI: https://t.co/1bg98xs1kA https://t.co/3prEecCR0z",2,1,0,0
1941137524816322690,2025-07-04T14:10:25.000Z,1751638625497059329,"2. https://t.co/iTmFD2eufF - The first AI Research Agent, deep research on any topic in one click.  👉 visit https://t.co/iTmFD2eufF and sign up, input any topic you want to research for. Then you can get:  → Write high-quality articles instantly  → Back them with credible",0,12,1,0
1941138291622846821,2025-07-04T14:13:27.000Z,1506794051332419593,"@HayekAndKeynes All good points in general about the issues with GDP, but there is also another obvious reason why AI productivity won't show up in the data: it doesn't increase productivity.  Generative AI is eye wateringly expensive, provides incorrect outputs 10-40% of the time, and has no",0,1,0,0
1941138228414963959,2025-07-04T14:13:12.000Z,1821470356152209408,"3/ 🪶https://t.co/azUX6Tysdi - The first AI Research Agent, deep research on any topic in one click.  → Write high-quality articles  instantly  → Back them with credible sources   “Research smarter, not harder! CopyOwl handles deep research and finish the final copy for you. https://t.co/l7DoUe8qi5",0,0,1,0
1941138223411216659,2025-07-04T14:13:11.000Z,1821470356152209408,2/ Meet https://t.co/UJVYWp6bCt  - Your 24/7 Online AI Research Team  👉 Try it now for free:   https://t.co/eqCVGWO3HD  AI tool creates personas and in-depth reports fast! 🚀 https://t.co/Sgw5WoQAhh,0,0,1,0
1941138093526114774,2025-07-04T14:12:40.000Z,752303769254178816,shitty greenscreen &gt;&gt;&gt;&gt;&gt;&gt;&gt; generative ai,0,0,0,0
1941137896532230587,2025-07-04T14:11:53.000Z,1797572618977181696,"2/ 🪶https://t.co/Z1wBCWvmo6  - The first AI Research Agent, deep research on any topic in one click.  👉 visit https://t.co/Z1wBCWvmo6  and sign up, input any topic you want to research for. Then you can get:  → Write high-quality articles instantly  → Back them with credible https://t.co/XclPeFtHO8",0,0,1,0
1941137772028494014,2025-07-04T14:11:24.000Z,2389121295,"#ALX_AiSK  @julienbarbier42  @kalibetre @lowercase_life Interacting with NotebookLM, a personalized AI research assistant learnt from @alx_africa https://t.co/1NXHqeFIL6",0,0,0,0
1941137292875206864,2025-07-04T14:09:29.000Z,1929809261527187457,"It's fantastic to see the rapid advancements in generative AI for animation. The explicit claim of 'solved hands' is particularly noteworthy, as generating realistic hands has been a persistent challenge for AI models. A method like X-UniMotion, which animates a single input https://t.co/JFx2ksdbS2",0,0,0,0
1941137171907567762,2025-07-04T14:09:01.000Z,1775235752500097024,"#ALX_Aisk  Exploring personified AI research assistant , learnt from @alx_africa  Making a note out of research material and having to convert to a podcast session is 🤭😇 https://t.co/jgfNAXGPA1",0,0,0,0
